t_us,P_x1x2_00,P_x1x2_01,P_x1x2_10,P_x1x2_11,P_state_1110111,P_state_1101011,P_state_1110101,P_state_1110110
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025025025025025025,0.9999999985718357,1.4281642611895646e-09,2.2277328405220777e-18,4.499516071990684e-27,6.81389275269617e-55,2.6816475225396452e-45,2.6816475225396598e-45,2.6816475225396598e-45
0.005005005005005005,0.9999999771845561,2.2815443914169614e-08,5.472066770129132e-16,1.6615041882699466e-23,7.064826892169573e-47,1.0032833258192618e-38,1.0032833258207798e-38,1.0032833258207798e-38
0.007507507507507508,0.9999998846420015,1.153579848477357e-07,1.3620998436838474e-14,1.817940392586598e-21,2.589012856061005e-42,3.169474087007979e-35,3.169474087753077e-35,3.169474087753077e-35
0.01001001001001001,0.9999996359806731,3.6401919555734037e-07,1.3344178810334158e-13,5.2173849126718675e-20,2.8281928300861547e-39,8.78657833410181e-33,8.786578380733258e-33,8.786578380733258e-33
0.012512512512512512,0.9999991130470596,8.869521516972855e-07,7.889560483443148e-13,7.2801479197064585e-19,3.4076180547380493e-37,5.479130525762684e-31,5.479130631993904e-31,5.479130631993904e-31
0.015015015015015017,0.9999981652686224,1.8347280054138622e-06,3.372165388111957e-12,6.34515428153475e-18,1.9929347708993984e-35,1.7346255291437217e-29,1.734625627814309e-29,1.734625627814309e-29
0.017517517517517518,0.9999966106492715,3.389339228118873e-06,1.1500610946300793e-11,3.9745185548035744e-17,7.906502012046847e-34,3.742102161619886e-28,3.742102677958371e-28,3.742102677958371e-28
0.02002002002002002,0.9999942369758074,5.762990959141358e-06,3.323587239034313e-11,1.9429014571252202e-16,2.281497733025703e-32,5.822678369745794e-27,5.822680154469048e-27,5.822680154469048e-27
0.022522522522522525,0.999990803225865,9.196689516956411e-06,8.461764719022039e-11,7.864030369773703e-16,4.727039021096242e-31,6.49741921024949e-26,6.497423506479014e-26,6.497423506479014e-26
0.025025025025025023,0.999986041170766,1.3958634332296643e-05,1.9489751583716314e-10,2.7425787110022552e-15,6.833841552070136e-30,5.3897627639065645e-25,5.389769805851078e-25,5.389769805851078e-25
0.027527527527527528,0.9999796571632911,2.0342422832589596e-05,4.138700237635173e-10,8.468959854658716e-15,7.1893688874547e-29,3.5810314218673814e-24,3.5810348255042704e-24,3.5810348255042704e-24
0.030030030030030033,0.9999713340990073,2.866507926827302e-05,8.217012873880321e-10,2.363870251949997e-14,5.867759333571152e-28,2.0045408012733512e-23,2.004533296773985e-23,2.004533296773985e-23
0.032532532532532535,0.99996073356642,3.926489185765326e-05,1.5416621767049964e-09,6.066681482426645e-14,3.891912853582943e-27,9.608657374506628e-23,9.60854315836137e-23,9.60854315836137e-23
0.035035035035035036,0.9999474981070956,5.249913682810309e-05,2.7559334727470597e-09,1.4487846192645542e-13,2.202434958101927e-26,4.080311241105869e-22,4.080267857890577e-22,4.080267857890577e-22
0.03753753753753754,0.9999312536445023,6.8741630260561e-05,4.724911610256402e-09,3.250553478875946e-13,1.0995292393197435e-25,1.561322936615271e-21,1.5612958326788181e-21,1.5612958326788181e-21
0.04004004004004004,0.999911612037892,8.838015131674092e-05,7.810103154978698e-09,6.905612397483799e-13,4.914134320132932e-25,5.4545976678408535e-21,5.4544953436226026e-21,5.4544953436226026e-21
0.04254254254254254,0.999888173746655,0.00011181375128686246,1.2500659816824838e-08,1.3980484501270619e-12,1.9954398571947347e-24,1.7599984585827752e-20,1.7599160483678597e-20,1.7599160483678597e-20
0.04504504504504505,0.9998605305870981,0.00013944996663193995,1.9443560609259788e-08,2.7116595056578454e-12,7.45090712543661e-24,5.293621685271503e-20,5.2932883246223874e-20,5.2932883246223874e-20
0.04754754754754755,0.999828268594512,0.0001717019231076795,2.9477317979472135e-08,5.0616361300249744e-12,2.5801992202067338e-23,1.494881637808832e-19,1.4947788792145248e-19,1.4947788792145248e-19
0.050050050050050046,0.9997909709024635,0.00020898541996999492,4.36684379857318e-08,9.126730509549577e-12,8.355853163441254e-23,3.9880351644741633e-19,3.9876903421630146e-19,3.9876903421630146e-19
0.052552552552552555,0.9997482207355354,0.00025171589745418254,6.335106415203671e-08,1.5948159864624084e-11,2.545768202746864e-22,1.0102796904784061e-18,1.0101830171936953e-18,1.0101830171936953e-18
0.055055055055055056,0.9996996044056856,0.000300305398729695,9.016850407994324e-08,2.70822927717618e-11,7.331813107704322e-22,2.4409580853791504e-18,2.440656646706348e-18,2.440656646706348e-18
0.05755755755755756,0.9996447143308854,0.0003551595082135745,1.2611609795765261e-07,4.4801062833817136e-11,2.0050653327922377e-21,5.646997377809079e-18,5.646282614683833e-18,5.646282614683833e-18
0.060060060060060066,0.9995831520546513,0.0004166742883630875,1.7358463712301376e-07,7.234914126485799e-11,5.227884782345195e-21,1.2551354786729733e-17,1.2549295936449202e-17,1.2549295936449202e-17
0.06256256256256255,0.9995145312540001,0.0004852332284620856,2.354032689445907e-07,1.1426760992562554e-10,1.3039803886102639e-20,2.688431530427791e-17,2.6878786031283173e-17,2.6878786031283173e-17
0.06506506506506507,0.9994384807152168,0.0005612042271618923,3.1488082853252645e-07,1.7679315478997774e-10,3.1217346015739816e-20,5.564336696706472e-17,5.562982961384383e-17,5.562982961384383e-17
0.06756756756756757,0.9993546472636606,0.0006449366235793172,4.1584442024134133e-07,2.683413678604804e-10,7.192447962004547e-20,1.1154918673973287e-16,1.1151946208777416e-16,1.1151946208777416e-16
